frame,frame_time_ms,mediapipe_ms,classifier_ms,fps,cpu_percent,temperature_c
0,3357.812140000078,418.9423349998833,63.45876899990799,0.29781296817873104,,46.738
1,505.930706999834,221.50158499994177,62.17310500005624,1.976555259770639,,45.277
2,20.435647999875073,237.3267330001454,63.048278999985996,48.934097906076346,,45.277
3,342.17080599978544,204.99547800000073,59.944322999854194,2.9225170074872695,,46.251
4,20.02304699999513,208.78119199983303,74.36700199991719,49.94244881911545,,46.251
5,353.8451879999229,225.73845500005518,62.12606099984441,2.8260946705320684,,46.738
6,20.16942199998084,207.21587399998498,61.99037800001861,49.58000283800646,,48.199
7,327.8260390000014,262.0329640001273,66.44259600011537,3.0503983242160815,,47.225
8,19.166075999919485,353.08138000004874,191.49430599986772,52.175520957143284,,47.225
9,319.3537299998752,565.5343040000389,189.9538019999909,3.1313240023856643,,47.225
10,20.16259800006992,578.282353999839,176.93992900012745,49.59678311279787,,47.225
11,322.3469649999515,329.689271999996,186.25742500012166,3.1022472943095663,,49.173
12,19.71003100015878,562.8104249999524,179.00650000001406,50.7355873763945,,48.686
13,291.3981250001143,599.8282939999626,178.875306000009,3.4317310723931658,,49.66
14,19.190514999991137,584.7441529999742,61.44404800011216,52.109075759585494,,49.173
15,350.1882940001906,409.4368480000412,202.89136399992458,2.855606589749273,,49.66
16,20.096083999987968,589.7523419998834,194.8533250001674,49.76093849929164,,50.147
17,605.6162919999224,634.0850879998925,180.34217800004626,1.6512105324936142,,50.147
18,53.986473000122714,483.4497179999744,205.6642729999112,18.523158569698133,,50.634
19,816.3862530000188,568.7916070000938,188.1572459999461,1.2249103856480261,,
20,53.945423999948616,566.4448149998407,193.41857700010223,18.53725350274293,,
21,802.3590919999606,571.2867169997935,66.79827600009958,1.246324756546847,,
22,19.532013999878473,395.53006500000265,174.0080399999897,51.19799729849784,,
23,613.1281259999923,591.1792300000798,172.5830150001002,1.6309804714455596,,
24,51.13262100007887,601.3842099998783,173.26572299998588,19.556986918359954,,
25,798.1200220001483,529.3860929998573,156.21688499982156,1.2529443848481905,,
26,50.23257800007741,589.6873909998703,186.34323400010544,19.9073995365808,,
27,838.2017880001058,601.9424720000188,172.24003200021798,1.1930301441922881,,
28,53.09012499992605,476.6063370000211,70.34417900013068,18.835894622613772,,
29,673.3146540000234,251.87375799987421,66.26221800001986,1.4851897163669412,,
30,19.94653500014465,253.77495299994735,60.988300000190065,50.13402077066258,,
31,702.6337720001266,333.05201200005286,180.0721329998396,1.4232165316412089,,
32,49.88287399987712,571.9649110001228,179.1189299999587,20.04696040573892,,
33,844.1157899999325,601.9933410000249,179.9238000000969,1.1846715958246439,,
34,50.34170199996879,493.11906399998406,61.456216000124186,19.864246941841973,,
35,880.9521819998736,316.1909119999109,189.82157300001745,1.1351353914918205,,
36,49.7085029999198,606.3247409999803,176.8548320001173,20.11728255026335,,
37,746.640010999954,604.099738000059,178.10558700011825,1.3393335278948257,,
38,48.21049499992114,481.735363000098,67.43876399991677,20.742371552120254,,
39,818.5372059999736,383.5223070000211,179.09639799995603,1.2216915647448678,,
40,50.462305999872115,574.7708249998595,181.25777700015533,19.816771750433567,,
41,818.0696730000818,527.042018000202,176.70516099997258,1.2223897707058748,,
42,49.55892699990727,460.0899380000101,59.62989799991192,20.177999414754705,,
43,665.8477670000593,270.2150119998805,178.46803699990232,1.5018447902971055,,
