frame,frame_time_ms,mediapipe_ms,classifier_ms,fps,cpu_percent,temperature_c
0,90.02154100002713,28.412708000018938,37.09541599999966,11.108452364747885,22.8,
1,81.85012500001676,27.157708000004277,36.979458000018894,12.217452325207754,29.7,
2,92.24383299999772,28.03633400000649,36.844542000011415,10.840833121061054,20.9,
3,86.76495800000339,27.346125000008215,37.08962499999302,11.525390238763913,23.0,
4,89.76674999999545,27.927625000017997,37.17433299999584,11.139982231728904,21.6,
5,79.86158299999602,27.026040999999168,36.39450000000011,12.521665141549347,27.3,
6,94.70658300000423,28.166084000019964,37.22958399998788,10.558928094786772,14.9,
7,81.96158300000889,24.872791000007055,37.11829100001296,12.20083804384173,19.8,
8,99.92312500000367,27.788667000010037,37.044500000007474,10.007693414311886,24.7,
9,80.76149999999416,26.243125000007694,36.80716699997788,12.382137528402424,21.1,
10,91.46541699999489,27.784832999998343,37.15070900000228,10.933093980209547,11.9,
11,89.83233300000393,27.70391600000721,36.90608300001941,11.131849375435415,14.3,
12,89.36800000000744,27.868500000010954,36.98920799999428,11.189687583921724,12.2,
13,77.0884169999988,26.276834000015015,37.002707999988615,12.97211745832082,12.6,
14,94.22233300000471,27.51499999999396,37.0645420000244,10.613195069155738,14.3,
15,88.60237499999357,27.519625000024917,36.90900000000852,11.286379174373966,14.6,
16,91.06545799997434,28.001041999999643,37.02000000001249,10.981112069960508,15.0,
17,99.23337500001139,33.8504579999892,39.95499999999197,10.077254754258687,12.4,
18,65.6955829999788,24.650000000008276,37.04083300002026,15.221723506134694,12.8,
19,93.15779199999952,25.777458999982628,37.60087500000964,10.734475115082217,17.2,
20,90.7457499999964,26.600958000017272,37.17575000001716,11.019799825336609,14.3,
21,83.41891699998882,26.09116600001471,37.02824999999166,11.987688595862902,15.2,
22,90.2511660000016,26.746416999998246,36.952167000009695,11.08018925761006,13.2,
23,88.7441659999979,26.634041999983538,37.628916999977946,11.268346360931755,24.1,
24,74.80362499998705,24.392917000000125,37.07916700000169,13.368336093340037,12.5,
25,94.34745799998723,24.853917000001502,37.110250000012,10.59911969223522,24.4,
26,85.40354199999456,24.705083000014838,37.19116600001371,11.709116233142458,17.5,
27,87.18012500000327,25.230708999998797,36.829292000021496,11.47050431505991,13.3,
28,86.75583300001222,24.205792000003612,37.46225000000436,11.526602482162314,12.7,
29,89.52812499998686,23.972708000002285,37.52195900000288,11.169674334184334,16.8,
30,85.51179200000547,24.08158299999741,36.42354199999431,11.694293577661616,16.2,
31,93.06658299999526,25.13074999998821,37.91079100000161,10.744995333073,13.4,
32,86.87079200001335,24.59604099999524,37.2336669999811,11.511348946834124,21.4,
33,90.9771250000233,25.732916999999134,37.48858400001609,10.991774031106653,13.5,
34,84.65866599999572,25.247707999994873,37.083291999977064,11.812139822756604,14.7,
35,90.50487499999349,26.010166999981266,36.85916700001712,11.049128569041965,13.3,
36,83.28837499999509,25.339624999986654,37.405000000006794,12.00647749460905,12.6,
37,93.67987499999231,26.331666999993786,37.827915999997686,10.674651305844314,12.8,
38,91.16537500000277,26.57700000000318,37.14862499998617,10.969076801362027,13.8,
39,82.01591700000677,25.08433299999524,37.419791999980134,12.19275521847689,13.3,
40,84.33387499999867,25.264708000008795,35.64562500000079,11.857631349205947,12.1,
41,84.19716700001345,24.53933299997857,36.066125000019156,11.876884171172176,13.3,
42,96.35358299999552,25.611333000000513,36.561167000002115,10.378441245926957,11.7,
43,85.7061670000121,25.798457999997026,37.12387499999181,11.667771818565388,12.4,
44,92.99708399998963,27.605083000025843,36.953000000011116,10.753025331419117,12.9,
45,87.6772499999845,27.599583000011307,37.075874999999314,11.40546721070947,12.1,
46,86.92941700002166,27.044582999991462,37.768625000012435,11.503585719432017,12.3,
47,81.59991600001604,24.083167000014782,36.72949999997854,12.254914576135146,12.6,
48,93.06254200001263,26.490958000010778,36.920707999996694,10.74546190668061,12.2,
49,86.95216699999264,26.74970900000062,37.049832999997534,11.500575943093915,14.3,
50,85.37141700000461,27.178459000026578,36.90120899997851,11.713522337340915,21.2,
51,88.0771250000123,27.796999999992522,36.96650000000545,11.35368576119918,15.7,
52,81.03962499998829,26.634292000011328,36.93599999999719,12.33964248970975,15.2,
53,99.22295799998437,28.687582999992856,37.17083300000468,10.078312722748676,15.9,
