frame,frame_time_ms,mediapipe_ms,classifier_ms,fps,cpu_percent,temperature_c
0,118.99337499999962,81.38237500000045,1.498041000000505,8.403829204777184,22.3,
1,46.63074999999939,17.88945799999997,1.3602909999992363,21.445076478504273,20.4,
2,28.197333999999685,16.70795799999958,1.35845800000034,35.4643456718288,18.1,
3,50.772709000000305,16.898833000000835,1.3864169999999731,19.695620338083476,19.0,
4,52.05908299999962,16.48870899999988,1.370834000000265,19.208943807174002,15.4,
5,53.0472909999995,16.640707999999726,1.3366250000004243,18.85110400830854,15.8,
6,42.82904200000015,16.449416999999578,1.3935000000007136,23.348642727054145,15.1,
7,51.913959000000176,16.58966600000067,1.368459000000044,19.262641864782392,14.2,
8,49.655457999999264,16.238417000000283,1.3416249999993468,20.138773062973556,15.0,
9,54.9634999999995,17.22087500000047,1.3664160000006476,18.193892310351583,14.2,
10,53.646584,17.203375000000243,1.3294169999999994,18.640515862109694,14.0,
11,53.757000000000055,18.04337499999953,1.448959000000194,18.60222854697991,14.3,
12,54.021333999999754,18.788000000000693,1.4294580000004942,18.51120522125582,14.1,
13,51.790957999999776,17.93962499999946,1.402832999999326,19.30838969999366,14.5,
14,53.01437500000006,18.226250000000555,1.468874999999592,18.862808436391052,14.5,
15,53.73112499999966,18.371874999999704,1.3780000000007675,18.611186719057276,13.7,
16,51.78704199999995,18.386582999999845,1.4357919999996582,19.30984974967292,14.8,
17,54.37974999999984,18.6874579999996,1.4279589999999232,18.389198184986196,13.9,
18,52.65245899999993,18.47045900000044,1.3882499999997577,18.99246529017764,13.7,
19,53.4654579999998,18.43854200000017,1.4427909999996658,18.703664710026494,14.0,
20,53.01970899999997,18.468334000000475,1.4099170000001493,18.860910760562653,14.3,
21,53.02804100000014,18.36520800000052,1.3543750000000188,18.857947250964777,13.5,
22,58.311458999999566,19.044458000000652,1.5562090000003082,17.149287929839097,14.0,
23,45.013207999999416,15.985791000000305,1.2033750000002286,22.215701666942135,23.1,
24,57.599374999999675,17.272584000000535,1.2542920000004898,17.36129949326717,16.9,
25,62.333875000000205,26.15270800000058,1.3005000000001488,16.042641340683485,14.6,
26,51.80933299999957,24.38774999999982,1.3562499999997257,19.30154167396844,14.3,
27,52.675667000000814,24.558832999999503,1.2793330000002712,18.984097534066052,13.6,
28,50.59054200000013,23.667249999999918,1.2675419999998994,19.766540552184587,14.3,
29,54.96549999999978,24.14695799999933,1.2846670000001836,18.193230299005812,13.5,
30,53.21395799999973,24.38308299999914,1.2584169999998451,18.792062037557987,14.1,
31,54.68912500000034,26.173542000000438,1.265542000000508,18.285170954920083,15.2,
32,51.05125000000044,24.18554199999967,1.2551659999999742,19.588158957909776,13.4,
33,53.73700000000081,24.439291000000196,1.2745409999999069,18.60915198094395,14.0,
34,53.49112499999986,24.31733299999994,1.307415999999506,18.694690006987187,14.0,
35,52.44737499999985,24.25575000000002,1.2353339999995328,19.066731175773864,14.5,
36,53.29245899999968,24.410708000000447,1.2228329999999232,18.764380904247748,14.3,
37,53.533124999999515,24.46862499999991,1.279832999999897,18.6800228830282,13.9,
38,52.709625000000315,24.4492919999999,1.2397079999999505,18.97186709258497,14.5,
39,52.696625000000274,24.067374999999558,1.2229589999996904,18.97654735953194,13.6,
40,48.37137500000033,23.812916999999878,1.2993330000004022,20.673383793617468,13.6,
41,53.256999999999444,23.85166600000055,1.3352920000002655,18.776874401487326,15.5,
42,55.63858300000035,23.520458000000133,1.2992079999998296,17.97313925122776,13.4,
43,52.4457500000004,23.923833999999644,1.229958000000586,19.067321946964096,14.6,
44,52.78058299999966,24.014708000000162,1.2118339999993566,18.94636139202946,13.8,
45,54.45316600000005,24.38550000000017,1.1864579999993907,18.364405110990223,13.9,
46,54.19787499999984,24.049250000000022,1.2270000000000891,18.45090789998691,15.2,
47,54.0374589999999,24.591625000000228,1.2969580000001812,18.505681401488584,14.2,
48,52.95824999999965,24.248332999999178,1.226584000000308,18.88279918615148,18.4,
49,52.596166999999916,24.00266600000034,1.297375000000045,19.01279232001833,21.2,
50,54.59437500000064,24.67858300000003,1.3352920000002655,18.31690535883941,12.2,
51,53.295375000000256,24.50683299999934,1.251916000000186,18.76335423101902,11.0,
52,51.93399999999926,23.992208000000126,1.2434589999994472,19.255208533908696,11.3,
53,53.26787500000041,24.256583000000553,1.2648329999995767,18.77304097450841,11.7,
54,54.2254160000013,24.608208000000076,1.2454999999995664,18.441536714074743,10.9,
55,53.215541000000144,24.394624999999337,1.261458000000104,18.791503031041202,11.6,
56,52.73962499999918,24.51716700000084,1.3140410000005431,18.96107528257957,11.2,
57,53.23800000000034,24.681958000000392,1.2452080000002752,18.783575641458988,10.4,
58,52.666417000001076,24.08791600000093,1.3086669999999856,18.987431782192047,11.6,
59,53.37333299999969,24.507541000000188,1.3127500000003067,18.735948155982797,11.1,
60,53.141708000000065,24.459415999999123,1.231082999998634,18.817611206625102,13.7,
61,53.683875000000825,24.340334000001462,1.2620000000005405,18.627567402688136,14.0,
62,52.84145900000148,24.17366700000123,1.2475409999996856,18.924534237405748,14.1,
63,53.4987090000012,24.672750000000576,1.2512079999993375,18.69203983968992,14.5,
64,51.92016700000046,24.111416999998525,1.243167000000156,19.260338665705586,14.2,
65,53.40512500000116,24.367166000001106,1.2805839999998625,18.72479467092303,13.8,
66,53.31079199999955,24.325082999999026,1.2214159999999197,18.757928038285538,14.0,
67,51.530790999999354,24.150875000000127,1.2487500000002427,19.40587327681449,13.4,
68,54.82187500000002,24.48083400000023,1.2769170000002106,18.24089380379638,14.4,
69,52.932709000000244,24.38391700000153,1.1975839999998072,18.891910482042313,14.0,
70,52.587916000000234,24.30379100000124,1.2277909999998116,19.01577541121796,15.4,
71,53.995084000000304,24.586541999999767,1.212959000000069,18.520204543065336,13.6,
72,52.92458400000122,24.41604200000036,1.3436249999987382,18.894810774516,14.2,
73,52.7569579999998,24.128083999999106,1.2822499999991521,18.95484572859572,14.2,
74,52.97775000000016,24.368541999999493,1.270916999999372,18.875848823326717,21.5,
